addr	name	size	callers	callees
7100000190	FUN_7100000190	36	0	1
7100000250	FUN_7100000250	136	18	0
71000002e0	__nnDetailNintendoSdkRuntimeObjectFileRefer	4	0	0
71000002f0	FUN_71000002f0	204	2	2
71000003c0	nndetailRoGetRoDataStart	12	0	0
71000003d0	nndetailRoGetRoDataEnd	12	0	0
71000003e0	__nnDetailNintendoSdkRuntimeObjectFile	4	0	0
71000003f0	FUN_71000003f0	364	1	7
7100000560	FUN_7100000560	260	1	3
7100000670	FUN_7100000670	240	1	6
7100000760	FUN_7100000760	252	2	1
7100000860	FUN_7100000860	560	1	5
7100000a90	CPULoadRom	324	1	3
7100000be0	doMirroring	92	1	1
7100000c40	FUN_7100000c40	3996	4	4
7100001be0	FUN_7100001be0	504	1	4
7100001de0	FUN_7100001de0	392	55	3
7100001f70	FUN_7100001f70	528	54	2
7100002180	FUN_7100002180	360	16	4
71000022f0	FUN_71000022f0	808	29	3
7100002620	FUN_7100002620	1052	2	1
7100002a40	CPUInit	1468	1	4
7100003000	CPUIsGBABios	208	0	3
71000030d0	CPUReset	1996	1	6
71000038a0	FUN_71000038a0	2132	2	4
7100004100	FUN_7100004100	132	1	0
7100004190	CPULoop	9876	1	6
7100006830	FUN_7100006830	256	1	0
7100006930	FUN_7100006930	548	34	4
7100006b60	arm_000_x2	744	0	0
7100006e50	arm_001	808	0	0
7100007180	arm_002_x2	760	0	0
7100007480	arm_003	808	0	0
71000077b0	arm_004_x2	756	0	0
7100007ab0	arm_005	764	0	0
7100007db0	arm_006_x2	792	0	0
71000080d0	arm_007	760	0	0
71000083d0	arm_009	276	0	0
71000084f0	arm_00b	324	0	1
7100008640	arm_00d_x1157	164	0	1
71000086f0	arm_010_x2	896	0	1
7100008a70	arm_011	956	0	1
7100008e30	arm_012_x2	884	0	1
71000091b0	arm_013	956	0	1
7100009570	arm_014_x2	884	0	1
71000098f0	arm_015	920	0	1
7100009c90	arm_016_x2	908	0	1
710000a020	arm_017	924	0	1
710000a3c0	arm_019	300	0	0
710000a4f0	arm_01b	572	0	1
710000a730	arm_01d_x2	576	0	1
710000a970	arm_01f_x2	588	0	1
710000abc0	arm_020_x2	744	0	0
710000aeb0	arm_021	808	0	0
710000b1e0	arm_022_x2	760	0	0
710000b4e0	arm_023	808	0	0
710000b810	arm_024_x2	756	0	0
710000bb10	arm_025	764	0	0
710000be10	arm_026_x2	792	0	0
710000c130	arm_027	760	0	0
710000c430	arm_029	284	0	0
710000c550	arm_030_x2	896	0	1
710000c8d0	arm_031	956	0	1
710000cc90	arm_032_x2	884	0	1
710000d010	arm_033	956	0	1
710000d3d0	arm_034_x2	884	0	1
710000d750	arm_035	920	0	1
710000daf0	arm_036_x2	908	0	1
710000de80	arm_037	924	0	1
710000e220	arm_039	308	0	0
710000e360	arm_040_x2	744	0	0
710000e650	arm_041	808	0	0
710000e980	arm_042_x2	760	0	0
710000ec80	arm_043	808	0	0
710000efb0	arm_044_x2	756	0	0
710000f2b0	arm_045	764	0	0
710000f5b0	arm_046_x2	792	0	0
710000f8d0	arm_047	760	0	0
710000fbd0	arm_04b	328	0	1
710000fd20	arm_050_x2	888	0	1
71000100a0	arm_051	952	0	1
7100010460	arm_052_x2	904	0	1
71000107f0	arm_053	952	0	1
7100010bb0	arm_054_x2	900	0	1
7100010f40	arm_055	908	0	1
71000112d0	arm_056_x2	936	0	1
7100011680	arm_057	904	0	1
7100011a10	arm_05b	580	0	1
7100011c60	arm_05d_x2	584	0	1
7100011eb0	arm_05f_x2	596	0	1
7100012110	arm_060_x2	744	0	0
7100012400	arm_061	808	0	0
7100012730	arm_062_x2	760	0	0
7100012a30	arm_063	808	0	0
7100012d60	arm_064_x2	756	0	0
7100013060	arm_065	764	0	0
7100013360	arm_066_x2	792	0	0
7100013680	arm_067	760	0	0
7100013980	arm_070_x2	888	0	1
7100013d00	arm_071	952	0	1
71000140c0	arm_072_x2	904	0	1
7100014450	arm_073	952	0	1
7100014810	arm_074_x2	900	0	1
7100014ba0	arm_075	908	0	1
7100014f30	arm_076_x2	936	0	1
71000152e0	arm_077	904	0	1
7100015670	arm_080_x2	744	0	0
7100015960	arm_081	808	0	0
7100015c90	arm_082_x2	760	0	0
7100015f90	arm_083	808	0	0
71000162c0	arm_084_x2	756	0	0
71000165c0	arm_085	764	0	0
71000168c0	arm_086_x2	792	0	0
7100016be0	arm_087	760	0	0
7100016ee0	arm_089	288	0	0
7100017000	arm_08b	324	0	1
7100017150	arm_090_x2	888	0	1
