0x71001bb000	glVertexAttrib3sv
0x71001bc000	glCopyConvolutionFilter1D
0x71001bd000	glGetVertexAttribArrayObjectivATI
0x71001bf000	glTexCoord3hNV
0x71001c0000	glDeformSGIX
0x71001c1000	glMapGrid1d
0x71001c2000	glGetProgramPipelineiv
0x71001c3000	glMultiTexCoord2svARB
0x71001c4000	glNamedProgramLocalParameter4dvEXT
0x71001c5000	glProgramEnvParametersI4uivNV
0x71001c6000	glTextureColorMaskSGIS
0x712aba35c0	eglQueryString
0x712aba35c8	eglGetCurrentDisplay
0x712aba3978	glCopyTexSubImage3D
0x712aba3980	glDrawRangeElements
0x712aba3988	glTexImage3D
0x712aba3990	glTexSubImage3D
0x712aba3998	glActiveTexture
0x712aba39a0	glClientActiveTexture
0x712aba39a8	glCompressedTexImage1D
0x712aba39b0	glCompressedTexImage2D
0x712aba39b8	glCompressedTexImage3D
0x712aba39c0	glCompressedTexSubImage1D
0x712aba39c8	glCompressedTexSubImage2D
0x712aba39d0	glCompressedTexSubImage3D
0x712aba39d8	glGetCompressedTexImage
0x712aba39e0	glLoadTransposeMatrixd
0x712aba39e8	glLoadTransposeMatrixf
0x712aba39f0	glMultTransposeMatrixd
0x712aba39f8	glMultTransposeMatrixf
0x712aba3a00	glMultiTexCoord1d
0x712aba3a08	glMultiTexCoord1dv
0x712aba3a10	glMultiTexCoord1f
0x712aba3a18	glMultiTexCoord1fv
0x712aba3a20	glMultiTexCoord1i
0x712aba3a28	glMultiTexCoord1iv
0x712aba3a30	glMultiTexCoord1s
0x712aba3a38	glMultiTexCoord1sv
0x712aba3a40	glMultiTexCoord2d
0x712aba3a48	glMultiTexCoord2dv
0x712aba3a50	glMultiTexCoord2f
0x712aba3a58	glMultiTexCoord2fv
0x712aba3a60	glMultiTexCoord2i
0x712aba3a68	glMultiTexCoord2iv
0x712aba3a70	glMultiTexCoord2s
0x712aba3a78	glMultiTexCoord2sv
0x712aba3a80	glMultiTexCoord3d
0x712aba3a88	glMultiTexCoord3dv
0x712aba3a90	glMultiTexCoord3f
0x712aba3a98	glMultiTexCoord3fv
0x712aba3aa0	glMultiTexCoord3i
0x712aba3aa8	glMultiTexCoord3iv
0x712aba3ab0	glMultiTexCoord3s
0x712aba3ab8	glMultiTexCoord3sv
0x712aba3ac0	glMultiTexCoord4d
0x712aba3ac8	glMultiTexCoord4dv
0x712aba3ad0	glMultiTexCoord4f
0x712aba3ad8	glMultiTexCoord4fv
0x712aba3ae0	glMultiTexCoord4i
0x712aba3ae8	glMultiTexCoord4iv
0x712aba3af0	glMultiTexCoord4s
0x712aba3af8	glMultiTexCoord4sv
0x712aba3b00	glSampleCoverage
0x712aba3b08	glBlendColor
0x712aba3b10	glBlendEquation
0x712aba3b18	glBlendFuncSeparate
0x712aba3b20	glFogCoordPointer
0x712aba3b28	glFogCoordd
0x712aba3b30	glFogCoorddv
0x712aba3b38	glFogCoordf
0x712aba3b40	glFogCoordfv
0x712aba3b48	glMultiDrawArrays
0x712aba3b50	glMultiDrawElements
0x712aba3b58	glPointParameterf
0x712aba3b60	glPointParameterfv
0x712aba3b68	glPointParameteri
0x712aba3b70	glPointParameteriv
0x712aba3b78	glSecondaryColor3b
0x712aba3b80	glSecondaryColor3bv
0x712aba3b88	glSecondaryColor3d
0x712aba3b90	glSecondaryColor3dv
0x712aba3b98	glSecondaryColor3f
0x712aba3ba0	glSecondaryColor3fv
0x712aba3ba8	glSecondaryColor3i
0x712aba3bb0	glSecondaryColor3iv
0x712aba3bb8	glSecondaryColor3s
0x712aba3bc0	glSecondaryColor3sv
0x712aba3bc8	glSecondaryColor3ub
0x712aba3bd0	glSecondaryColor3ubv
0x712aba3bd8	glSecondaryColor3ui
0x712aba3be0	glSecondaryColor3uiv
0x712aba3be8	glSecondaryColor3us
0x712aba3bf0	glSecondaryColor3usv
0x712aba3bf8	glSecondaryColorPointer
0x712aba3c00	glWindowPos2d
0x712aba3c08	glWindowPos2dv
0x712aba3c10	glWindowPos2f
0x712aba3c18	glWindowPos2fv
0x712aba3c20	glWindowPos2i
0x712aba3c28	glWindowPos2iv
0x712aba3c30	glWindowPos2s
0x712aba3c38	glWindowPos2sv
0x712aba3c40	glWindowPos3d
0x712aba3c48	glWindowPos3dv
0x712aba3c50	glWindowPos3f
0x712aba3c58	glWindowPos3fv
0x712aba3c60	glWindowPos3i
0x712aba3c68	glWindowPos3iv
0x712aba3c70	glWindowPos3s
0x712aba3c78	glWindowPos3sv
0x712aba3c80	glBeginQuery
0x712aba3c88	glBindBuffer
0x712aba3c90	glBufferData
0x712aba3c98	glBufferSubData
0x712aba3ca0	glDeleteBuffers
0x712aba3ca8	glDeleteQueries
0x712aba3cb0	glEndQuery
0x712aba3cb8	glGenBuffers
0x712aba3cc0	glGenQueries
0x712aba3cc8	glGetBufferParameteriv
0x712aba3cd0	glGetBufferPointerv
0x712aba3cd8	glGetBufferSubData
0x712aba3ce0	glGetQueryObjectiv
0x712aba3ce8	glGetQueryObjectuiv
0x712aba3cf0	glGetQueryiv
0x712aba3cf8	glIsBuffer
0x712aba3d00	glIsQuery
0x712aba3d08	glMapBuffer
0x712aba3d10	glUnmapBuffer
0x712aba3d18	glAttachShader
0x712aba3d20	glBindAttribLocation
