169 ROMs, 12 workers
[  1/169] FAIL    blargg/cgb_sound/rom_singles/01-registers.gb  (30 fr, 2.0s) 01-registers | NR10-NR51 and wave R | AM write/read | Failed #2
[  2/169] FAIL    blargg/cgb_sound/rom_singles/06-overflow on trigger.gb  (30 fr, 2.1s) 06-overflow on trigg | er | 07FF 07FF 07FF 07FF | 07FF 07FF 07FF | 4236F3B5 | Failed
[  3/169] FAIL    blargg/cgb_sound/rom_singles/11-regs after power.gb  (30 fr, 2.1s) 11-regs after power | Powering off should | clear NR12 | Failed #2
[  4/169] FAIL    blargg/cgb_sound/rom_singles/03-trigger.gb  (30 fr, 2.2s) 03-trigger | 0 | Enabling in first ha | lf of length period | should clock length | Failed
[  5/169] FAIL    blargg/cgb_sound/rom_singles/09-wave read while on.gb  (60 fr, 3.4s) 09-wave read while o | n | 00 00 00 00 00 00 00 | 00 00 00 00 00 00 00 | 00 00 00 00 00 00
[  6/169] FAIL    blargg/cgb_sound/rom_singles/02-len ctr.gb  (60 fr, 3.8s) 02-len ctr | 0 | Trigger shouldn't af | fect length | Failed #5
[  7/169] FAIL    blargg/cgb_sound/rom_singles/12-wave.gb  (30 fr, 2.2s) 12-wave | Timer period or phas | e resetting is wrong | Failed #2
[  8/169] PASS    blargg/cpu_instrs/individual/02-interrupts.gb  (30 fr, 2.0s) 02-interrupts | Passed | 02-interrupts | Passed
[  9/169] FAIL    blargg/cgb_sound/rom_singles/08-len ctr during power.gb  (90 fr, 5.0s) 08-len ctr during po | wer | 33 44 11 22 32F0CFBB | Failed
[ 10/169] PASS    blargg/cpu_instrs/individual/07-jr,jp,call,ret,rst.gb  (30 fr, 2.9s) 07-jr,jp,call,ret,rst | Passed | 07-jr,jp,call,ret,rs | t
[ 11/169] PASS    blargg/cpu_instrs/individual/06-ld r,r.gb  (49 fr, 3.9s) 06-ld r,r | Passed | 06-ld r,r | Passed
[ 12/169] PASS    blargg/cpu_instrs/individual/08-misc instrs.gb  (30 fr, 2.7s) 08-misc instrs | Passed | 08-misc instrs | Passed
[ 13/169] PASS    blargg/cpu_instrs/individual/01-special.gb  (150 fr, 10.9s) 01-special | Passed | 01-special | Passed
[ 14/169] PASS    blargg/cpu_instrs/individual/03-op sp,hl.gb  (90 fr, 10.3s) 03-op sp,hl | Passed | 03-op sp,hl | Passed
[ 15/169] PASS    blargg/cpu_instrs/individual/04-op r,imm.gb  (90 fr, 11.2s) 04-op r,imm | Passed | 04-op r,imm | Passed
[ 16/169] FAIL    blargg/dmg_sound/rom_singles/01-registers.gb  (30 fr, 2.4s) 01-registers | NR10-NR51 and wave R | AM write/read | Failed #2
[ 17/169] PASS    blargg/cpu_instrs/individual/05-op rp.gb  (120 fr, 15.5s) 05-op rp | Passed | 05-op rp | Passed
[ 18/169] FAIL    blargg/dmg_sound/rom_singles/02-len ctr.gb  (60 fr, 4.0s) 02-len ctr | 0 | Trigger shouldn't af | fect length | Failed #5
[ 19/169] FAIL    blargg/dmg_sound/rom_singles/03-trigger.gb  (30 fr, 2.5s) 03-trigger | 0 | Enabling in first ha | lf of length period | should clock length | Failed
[ 20/169] PASS    blargg/cpu_instrs/individual/09-op r,r.gb  (300 fr, 38.1s) 09-op r,r | Passed | 09-op r,r | Passed
[ 21/169] FAIL    blargg/dmg_sound/rom_singles/06-overflow on trigger.gb  (30 fr, 2.0s) 06-overflow on trigg | er | 07FF 07FF 07FF 07FF | 07FF 07FF 07FF | 4236F3B5 | Failed
[ 22/169] PASS    blargg/cpu_instrs/individual/10-bit ops.gb  (450 fr, 56.9s) 10-bit ops | Passed | 10-bit ops | Passed
[ 23/169] PASS    blargg/dmg_sound/rom_singles/08-len ctr during power.gb  (90 fr, 4.8s) 08-len ctr during po | wer | 33 44 11 22 | Passed
[ 24/169] FAIL    blargg/dmg_sound/rom_singles/09-wave read while on.gb  (60 fr, 3.3s) 09-wave read while o | n | 00 00 00 00 00 00 00 | 00 00 00 00 00 00 00 | 00 00 00 00 00 00
[ 25/169] PASS    blargg/cpu_instrs/individual/11-op a,(hl).gb  (540 fr, 65.8s) 11-op a,(hl) | Passed | 11-op a,(hl) | Passed
[ 26/169] FAIL    blargg/dmg_sound/rom_singles/11-regs after power.gb  (30 fr, 2.0s) 11-regs after power | Powering off should | clear NR12 | Failed #2
[ 27/169] TIMEOUT blargg/cgb_sound/rom_singles/10-wave trigger while on.gb  (2400 fr, 106.0s) 00 11 22 33 44 55 66 | 77 88 99 AA BB CC DD | EE FF | 00 11 22 33 44 55 66 | 77 88 99 AA B
[ 28/169] FAIL    blargg/halt_bug.gb  (120 fr, 7.0s) halt bug | IE IF IF DE | 01 10 F1 0C04 | 01 00 E1 0C04 | 01 01 E1 0C04 | 11 00 E1 0C04 | 1
[ 29/169] FAIL    blargg/instr_timing/instr_timing.gb  (50 fr, 3.1s) instr_timing | 40:0-1 | Failed | instr_timing | 40:0-1 | Failed
[ 30/169] PASS    blargg/interrupt_time/interrupt_time.gb  (30 fr, 2.6s) interrupt time | 00 00 00 | 00 08 0D | 01 00 00 | 01 08 0D | Passed
[ 31/169] TIMEOUT blargg/cgb_sound/rom_singles/07-len sweep period sync.gb  (2400 fr, 124.3s) 07-len sweep period | sync
[ 32/169] TIMEOUT blargg/cgb_sound/rom_singles/05-sweep details.gb  (2400 fr, 124.7s) 05-sweep details
[ 33/169] TIMEOUT blargg/cgb_sound/rom_singles/04-sweep.gb  (2400 fr, 124.7s) 04-sweep
[ 34/169] FAIL    blargg/mem_timing-2/mem_timing.gb  (120 fr, 7.6s) mem_timing | 01:    02:    03: | Run failed tests | individually for | more details.
[ 35/169] FAIL    blargg/mem_timing-2/rom_singles/01-read_timing.gb  (30 fr, 2.1s) 01-read_timing | F0:2-3 FA:2-4 CB 46: | 2-3 CB 4E:2-3 CB 56: | 2-3 CB 5E:2-3 CB 66: | 2-3 
[ 36/169] FAIL    blargg/mem_timing-2/rom_singles/02-write_timing.gb  (30 fr, 1.9s) 02-write_timing | 36:2-3 E0:2-3 EA:2-4 | Failed
[ 37/169] FAIL    blargg/mem_timing/individual/02-write_timing.gb  (30 fr, 1.9s) 02-write_timing | 36:2-3 E0:2-3 EA:2-4 | Failed | 02-write_timing | 36:2-3 E0:2-3 EA:2-4 |
[ 38/169] FAIL    blargg/mem_timing/individual/01-read_timing.gb  (60 fr, 3.4s) 01-read_timing | F0:2-3 FA:2-4 CB 46:2-3 CB 4E:2-3 CB 56:2-3 CB 5E:2-3 CB 66:2-3 CB 6E:2-3
[ 39/169] FAIL    blargg/mem_timing/individual/03-modify_timing.gb  (120 fr, 6.8s) 03-modify_timing | 35:0/0-2/3 | 34:0/0-2/3 | CB 06:0/0-3/4 | CB 0E:0/0-3/4 | CB 16:0/0-3/4
[ 40/169] FAIL    blargg/mem_timing/mem_timing.gb  (120 fr, 6.9s) mem_timing | 01:01  02:01  03:01 | Failed 3 tests. | mem_timing | 01:    02:    03: | Fail
[ 41/169] FAIL    blargg/oam_bug/rom_singles/1-lcd_sync.gb  (30 fr, 2.2s) 1-lcd_sync | Turning LCD on start | s too late in scanli | ne | Failed #2
[ 42/169] FAIL    blargg/oam_bug/rom_singles/2-causes.gb  (30 fr, 2.6s) 2-causes | LD DE,$FE00 : INC DE | Failed #2
[ 43/169] FAIL    blargg/oam_bug/rom_singles/4-scanline_timing.gb  (30 fr, 2.8s) 4-scanline_timing | INC DE at first corr | uption | Failed #3
[ 44/169] PASS    blargg/oam_bug/rom_singles/3-non_causes.gb  (60 fr, 5.5s) 3-non_causes | Passed
[ 45/169] FAIL    blargg/oam_bug/rom_singles/5-timing_bug.gb  (30 fr, 2.6s) 5-timing_bug | Should corrupt at be | ginning of first sca | nline | Failed #2
[ 46/169] TIMEOUT blargg/dmg_sound/rom_singles/05-sweep details.gb  (2400 fr, 122.0s) 05-sweep details
[ 47/169] PASS    blargg/oam_bug/rom_singles/6-timing_no_bug.gb  (60 fr, 5.7s) Passed | -- -- -- -- -- -- -- | -- -- -- | 10 -- -- -- -- -- -- | -- -- -- -- -- -- -- | -
[ 48/169] TIMEOUT blargg/dmg_sound/rom_singles/04-sweep.gb  (2400 fr, 126.5s) 04-sweep
[ 49/169] FAIL    blargg/oam_bug/rom_singles/8-instr_effect.gb  (60 fr, 3.7s) 8-instr_effect | 00000000 | INC/DEC rp pattern i | s wrong | Failed #2
[ 50/169] PASS    mooneye/acceptance/bits/mem_oam.gb  (2 fr, 0.6s) B=03 C=05 D=08 E=0d H=15 L=22
[ 51/169] PASS    mooneye/acceptance/bits/reg_f.gb  (2 fr, 0.6s) B=03 C=05 D=08 E=0d H=15 L=22
[ 52/169] FAIL    mooneye/acceptance/bits/unused_hwio-GS.gb  (2 fr, 0.7s) B=42 C=42 D=42 E=42 H=42 L=42
[ 53/169] FAIL    mooneye/acceptance/boot_div-S.gb  (2 fr, 0.7s) B=42 C=42 D=42 E=42 H=42 L=42
[ 54/169] FAIL    mooneye/acceptance/boot_div-dmg0.gb  (2 fr, 0.6s) B=42 C=42 D=42 E=42 H=42 L=42
[ 55/169] FAIL    mooneye/acceptance/boot_div-dmgABCmgb.gb  (2 fr, 0.6s) B=42 C=42 D=42 E=42 H=42 L=42
[ 56/169] FAIL    mooneye/acceptance/boot_hwio-S.gb  (2 fr, 0.5s) B=42 C=42 D=42 E=42 H=42 L=42
[ 57/169] FAIL    mooneye/acceptance/boot_div2-S.gb  (2 fr, 0.7s) B=42 C=42 D=42 E=42 H=42 L=42
[ 58/169] FAIL    mooneye/acceptance/boot_hwio-dmg0.gb  (2 fr, 0.6s) B=42 C=42 D=42 E=42 H=42 L=42
[ 59/169] FAIL    mooneye/acceptance/boot_hwio-dmgABCmgb.gb  (2 fr, 0.6s) B=42 C=42 D=42 E=42 H=42 L=42
[ 60/169] FAIL    mooneye/acceptance/boot_regs-dmg0.gb  (2 fr, 0.5s) B=42 C=42 D=42 E=42 H=42 L=42
[ 61/169] FAIL    mooneye/acceptance/boot_regs-dmgABC.gb  (2 fr, 0.6s) B=42 C=42 D=42 E=42 H=42 L=42
