rom	status	frames	secs	detail
blargg/cgb_sound/cgb_sound.gb	TIMEOUT	4200	2.6	cgb_sound | 01:    02:    03: | 04
blargg/cgb_sound/rom_singles/01-registers.gb	FAIL	30	0.2	01-registers | NR10-NR51 and wave R | AM write/read | Failed #2
blargg/cgb_sound/rom_singles/02-len ctr.gb	FAIL	60	0.2	02-len ctr | 0 | Trigger shouldn't af | fect length | Failed #5
blargg/cgb_sound/rom_singles/03-trigger.gb	FAIL	30	0.2	03-trigger | 0 | Enabling in first ha | lf of length period | should clock length | Failed #3
blargg/cgb_sound/rom_singles/04-sweep.gb	TIMEOUT	2400	1.5	04-sweep
blargg/cgb_sound/rom_singles/05-sweep details.gb	TIMEOUT	2400	1.5	05-sweep details
blargg/cgb_sound/rom_singles/06-overflow on trigger.gb	FAIL	30	0.2	06-overflow on trigg | er | 07FF 07FF 07FF 07FF | 07FF 07FF 07FF | 4236F3B5 | Failed
blargg/cgb_sound/rom_singles/07-len sweep period sync.gb	TIMEOUT	2400	1.5	07-len sweep period | sync
blargg/cgb_sound/rom_singles/08-len ctr during power.gb	FAIL	90	0.2	08-len ctr during po | wer | 33 44 11 22 32F0CFBB | Failed
blargg/cgb_sound/rom_singles/09-wave read while on.gb	FAIL	60	0.2	09-wave read while o | n | 00 00 00 00 00 00 00 | 00 00 00 00 00 00 00 | 00 00 00 00 00 00 00 | 00 00 00 00 00 00 00 | 00 00 00 00 00 00 00 | 00 00 00 00 00 00 00 | 00 00 00 00 00 00 00 | 00 00 00 00 00 00 00 | 00 00 00 00 00 00 00 | 00 00 00 00 00 00 7A | 75E7B6 | Failed
blargg/cgb_sound/rom_singles/10-wave trigger while on.gb	TIMEOUT	2400	1.2	00 11 22 33 44 55 66 | 77 88 99 AA BB CC DD | EE FF | 00 11 22 33 44 55 66 | 77 88 99 AA BB CC DD | EE FF | 00 11 22 33 44 55 66 | 77 88 99 AA BB CC DD | EE FF | 00 11 22 33 44 55 66 | 77 88 99 AA BB CC DD | EE FF | 00 11 22 33 44 55 66 | 77 88 99 AA BB CC DD | EE FF | 00 11 22 33 44 55 66 | 77 88 9
blargg/cgb_sound/rom_singles/11-regs after power.gb	FAIL	30	0.1	11-regs after power | Powering off should | clear NR12 | Failed #2
blargg/cgb_sound/rom_singles/12-wave.gb	FAIL	30	0.1	12-wave | Timer period or phas | e resetting is wrong | Failed #2
blargg/cpu_instrs/cpu_instrs.gb	PASS	1797	1.9	cpu_instrs | 01:ok  02:ok  03:ok  04:ok  05:ok  06:ok  07:ok  08:ok  09:ok  10:ok  11:ok | Passed all tests | cpu_instrs | 01:ok  02:ok  03:ok | 04:ok  05:ok  06:ok | 07:ok  08:ok  09:ok | 10:ok  11:ok | Passed all tests
blargg/cpu_instrs/individual/01-special.gb	PASS	150	0.2	01-special | Passed | 01-special | Passed
blargg/cpu_instrs/individual/02-interrupts.gb	PASS	30	0.1	02-interrupts | Passed | 02-interrupts | Passed
blargg/cpu_instrs/individual/03-op sp,hl.gb	PASS	90	0.2	03-op sp,hl | Passed | 03-op sp,hl | Passed
blargg/cpu_instrs/individual/04-op r,imm.gb	PASS	90	0.2	04-op r,imm | Passed | 04-op r,imm | Passed
blargg/cpu_instrs/individual/05-op rp.gb	PASS	120	0.2	05-op rp | Passed | 05-op rp | Passed
blargg/cpu_instrs/individual/06-ld r,r.gb	PASS	49	0.1	06-ld r,r | Passed | 06-ld r,r | Passed
blargg/cpu_instrs/individual/07-jr,jp,call,ret,rst.gb	PASS	30	0.1	07-jr,jp,call,ret,rst | Passed | 07-jr,jp,call,ret,rs | t
blargg/cpu_instrs/individual/08-misc instrs.gb	PASS	30	0.1	08-misc instrs | Passed | 08-misc instrs | Passed
blargg/cpu_instrs/individual/09-op r,r.gb	PASS	300	0.4	09-op r,r | Passed | 09-op r,r | Passed
blargg/cpu_instrs/individual/10-bit ops.gb	PASS	450	0.6	10-bit ops | Passed | 10-bit ops | Passed
blargg/cpu_instrs/individual/11-op a,(hl).gb	PASS	540	0.7	11-op a,(hl) | Passed | 11-op a,(hl) | Passed
blargg/dmg_sound/dmg_sound.gb	TIMEOUT	4200	2.5	dmg_sound | 01:    02:    03: | 04
blargg/dmg_sound/rom_singles/01-registers.gb	FAIL	30	0.1	01-registers | NR10-NR51 and wave R | AM write/read | Failed #2
